price_date,c_beans,c_cabbage,c_carrots,c_eggs,c_rice,c_tomatoes
2024-01-01,85.5,32.75,45.2,3.25,21.8,28.9
2024-02-01,87.2,31.45,46.8,3.3,22.1,29.5
2024-03-01,89.1,33.2,44.9,3.45,21.95,27.8
2024-04-01,91.5,34.8,47.6,3.6,22.4,30.2
2024-05-01,88.7,32.1,46.3,3.35,22.25,29.8
2024-06-01,86.9,35.6,48.1,3.7,22.6,31.5
2024-07-01,92.3,36.2,49.4,3.8,22.85,32.1
2024-08-01,94.8,34.9,47.8,3.65,23.1,30.9
2024-09-01,90.2,33.8,46.5,3.5,22.7,29.4
2024-10-01,88.4,37.1,50.2,3.9,23.4,33.2
2024-11-01,95.6,38.4,51.8,4.1,23.75,34.6
2024-12-01,97.2,36.8,49.9,3.95,24.0,32.8
2025-01-01,99.5,39.2,53.1,4.25,24.3,35.4
